Id,MSSubClass,Neighborhood,HouseStyle,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,CentralAir,MoSold,YrSold,SaleCondition,SalePrice
151,30,NridgHt,1.5Fin,29.6,7180,7,4,1901,1932,TA,TA,888,1295,1327,2,0,4,1,TA,6,2,1903.0,1,212,150,21,0,Y,8,2009,Normal,515936
152,50,Edwards,1.5Fin,,14621,9,2,2000,2010,Gd,TA,836,1471,1999,2,1,2,1,Gd,6,2,2004.0,1,278,0,112,0,Y,6,2006,Normal,363897
153,50,OldTown,1Story,90.4,3203,10,8,1973,1987,TA,TA,615,567,859,3,1,3,2,TA,7,0,,0,0,250,41,0,Y,9,2010,Normal,329662
154,90,CollgCr,2Story,111.4,15194,4,3,1937,1949,TA,TA,1564,1701,2212,2,1,2,2,TA,7,2,1938.0,1,313,0,44,0,Y,8,2006,Normal,423220
155,20,Mitchel,1Story,89.2,16847,2,5,1900,1937,TA,NA,755,1339,1850,1,0,2,2,Gd,5,2,,0,0,200,59,0,N,8,2007,Family,342867
156,80,CollgCr,2Story,85.0,8948,4,3,1967,1989,TA,Gd,1775,1784,2032,2,0,2,1,Gd,4,1,,0,0,200,91,0,Y,5,2010,Normal,411240
157,30,Sawyer,1Story,78.1,11726,7,3,1909,1920,Gd,Fa,1440,1910,1943,3,1,1,1,Ex,4,0,,0,0,0,30,0,N,5,2009,Normal,389445
158,40,BrkSide,2Story,,15200,6,4,1967,1978,Gd,TA,1273,1284,1573,1,1,5,2,Gd,9,0,1969.0,1,325,0,160,0,Y,4,2009,Normal,343009
159,50,NAmes,2Story,,8539,2,9,1985,2010,TA,Gd,698,848,1040,2,1,4,2,Gd,8,0,1989.0,1,319,0,133,0,Y,10,2007,Normal,283506
160,90,Gilbert,2Story,,14145,7,9,1929,1931,Gd,NA,1190,1148,1608,1,0,5,2,Gd,8,2,1931.0,1,343,100,158,0,Y,6,2009,Normal,418291
161,30,Gilbert,1Story,46.5,7681,3,5,1926,1928,Ex,Fa,599,890,1107,3,1,1,2,TA,6,0,1930.0,2,546,100,185,0,Y,6,2010,Normal,385672
162,40,Edwards,1.5Fin,,8494,6,6,1924,1953,Gd,TA,1762,1306,1883,1,0,4,2,Gd,7,2,1925.0,2,454,150,120,0,Y,9,2009,Normal,381764
163,70,NridgHt,1Story,98.4,7143,7,9,1924,1924,TA,Gd,1279,1135,2062,2,1,3,2,Gd,6,0,,0,0,100,72,0,Y,7,2007,Normal,574345
164,70,Somerst,1Story,,11939,7,3,1912,1918,TA,Gd,1166,2240,2384,3,1,4,2,Gd,8,2,1913.0,3,934,200,195,0,Y,12,2010,Normal,524455
165,40,Somerst,2Story,43.2,15363,5,9,1927,1966,Fa,TA,777,1340,1803,3,0,5,2,Gd,8,2,1929.0,2,686,100,113,0,Y,3,2006,Normal,450047
166,30,Somerst,1Story,83.0,9727,5,2,1973,1990,Gd,Gd,1551,1596,2069,1,1,2,1,TA,5,1,1974.0,1,331,0,92,0,Y,1,2010,Partial,440590
167,80,BrkSide,1.5Fin,60.9,5161,8,3,1933,1962,Gd,Gd,1465,915,1557,1,1,1,1,TA,4,1,,0,0,0,83,0,Y,6,2006,Normal,327476
168,90,NridgHt,1.5Fin,80.7,5953,8,4,1986,2005,Gd,TA,1313,1363,1470,1,1,1,2,TA,4,0,1990.0,3,914,200,7,550,Y,7,2006,Normal,591904
169,60,Edwards,1Story,91.8,12157,9,2,1990,1993,TA,Ex,1535,1223,1952,2,1,3,2,Gd,8,0,1990.0,2,578,0,191,0,N,10,2006,Partial,415103
170,80,Mitchel,SLvl,,18245,5,8,1984,1991,Gd,TA,1360,1058,1439,3,0,1,2,Gd,6,2,1987.0,1,225,0,163,0,Y,8,2006,Abnorml,367137
171,40,BrkSide,1Story,56.1,12154,5,8,1959,1989,Fa,TA,1399,1628,1754,1,1,1,2,Gd,6,2,,0,0,0,139,0,Y,12,2009,Normal,353907
172,80,Mitchel,2Story,98.2,8875,4,5,1935,1938,TA,Ex,640,825,1091,1,0,1,2,TA,5,2,,0,0,150,44,0,Y,2,2007,Normal,278004
173,80,Sawyer,1Story,86.3,13718,6,8,2003,2010,TA,TA,896,1189,1227,2,1,2,1,Gd,5,1,2006.0,1,288,0,185,0,N,7,2006,Abnorml,339366
174,90,Edwards,SLvl,70.6,9494,3,8,1922,1935,TA,Ex,834,1211,1880,3,0,1,1,TA,5,0,,0,0,100,35,0,Y,10,2007,Normal,317959
175,90,Sawyer,1Story,69.5,8911,5,8,1951,1965,TA,Ex,1070,1788,2051,2,1,3,1,TA,7,0,,0,0,150,48,0,Y,7,2010,Normal,396311
176,40,Edwards,1Story,,6474,3,8,1950,1988,TA,TA,694,1091,1102,2,0,4,2,TA,9,2,1951.0,1,276,250,14,0,Y,4,2008,Normal,306706
177,20,OldTown,1Story,63.1,16415,6,6,1982,2006,Gd,TA,1008,1572,1972,3,0,2,2,TA,5,0,,0,0,100,57,0,Y,10,2009,Abnorml,352677
178,70,Somerst,SLvl,34.1,1500,9,2,1960,1984,TA,Gd,1358,1266,1469,3,0,1,1,Fa,5,0,1961.0,1,171,250,65,0,Y,11,2007,Normal,463722
179,70,Mitchel,1.5Fin,86.5,13851,10,9,1988,2002,TA,TA,1666,1278,1758,2,0,3,1,Gd,6,0,1988.0,3,863,150,158,0,Y,4,2008,Normal,482507
180,70,Gilbert,2Story,85.2,8552,6,6,2002,2010,TA,Gd,1407,2069,2330,2,1,1,1,Gd,5,1,2004.0,3,984,200,65,0,Y,7,2009,Partial,507120
181,70,Edwards,1.5Fin,20.0,8777,2,9,1943,1970,Gd,TA,1531,1858,1938,2,1,4,2,TA,9,2,,0,0,0,191,0,Y,10,2009,Normal,331976
182,20,Somerst,1.5Fin,81.2,17608,4,9,1997,1998,Fa,Gd,1237,1717,1982,1,1,2,1,TA,4,1,2000.0,2,619,250,60,0,N,2,2006,Normal,456766
183,70,OldTown,2Story,,7501,2,3,1918,1927,Fa,TA,1176,2395,2466,2,1,3,2,Gd,6,2,1918.0,3,1042,0,104,0,Y,1,2009,Normal,344511
184,50,NridgHt,1Story,45.2,7644,8,5,2001,2010,TA,TA,797,1110,1362,3,0,2,1,Gd,4,1,2003.0,2,574,0,118,0,N,9,2009,Normal,574851
185,20,Edwards,2Story,68.4,9952,10,3,1919,1943,Fa,Gd,675,1034,1277,1,1,2,1,Gd,5,2,1919.0,1,280,0,165,0,Y,10,2006,Normal,361478
186,80,Gilbert,2Story,66.0,12238,6,2,1994,1997,TA,TA,757,896,1303,3,0,1,2,TA,6,0,1994.0,1,301,150,150,0,Y,2,2007,Normal,361120
187,20,Edwards,1Story,106.5,8644,3,9,1943,1974,Gd,TA,753,1263,1453,2,1,3,2,Gd,6,1,,0,0,150,173,0,Y,8,2009,Normal,301377
188,30,Edwards,1Story,94.7,3890,2,9,2007,2010,TA,Ex,254,521,550,2,0,1,2,Ex,4,0,2008.0,1,249,0,187,0,Y,9,2006,Abnorml,247743
189,40,Mitchel,2Story,50.7,6864,10,9,1914,1923,Ex,TA,858,1388,1650,1,0,4,1,Ex,7,2,1917.0,3,778,250,23,0,Y,12,2009,Normal,445540
190,80,Edwards,1Story,77.5,15882,4,9,1951,1981,TA,TA,1202,877,1339,3,0,2,1,Fa,5,1,1951.0,2,471,0,18,0,Y,10,2010,Normal,314729
191,20,NAmes,SLvl,120.7,10814,3,7,2000,2010,TA,Gd,872,1551,1951,1,1,3,1,TA,5,0,2000.0,1,301,150,89,0,Y,3,2008,Normal,328616
192,50,Edwards,1Story,56.3,12395,3,6,1905,1921,Gd,NA,1009,1553,1744,2,1,3,2,Gd,7,0,,0,0,100,30,0,Y,7,2008,Normal,328160
193,40,Gilbert,1Story,69.8,9402,4,9,1929,1940,Gd,TA,906,1276,1312,1,1,4,1,TA,8,1,1930.0,3,797,150,98,0,Y,9,2006,Normal,388207
194,50,NAmes,1.5Fin,81.3,7730,7,6,1909,1920,TA,TA,1165,1215,1958,3,0,4,2,Gd,7,1,,0,0,200,117,0,Y,4,2009,Normal,382440
195,80,Edwards,1Story,,17546,10,7,1935,1958,TA,Fa,1436,1274,2097,1,0,3,1,TA,5,0,1938.0,2,600,250,55,0,Y,2,2010,Normal,419316
196,40,CollgCr,1Story,108.8,9710,4,3,1943,1944,Fa,NA,522,906,1231,3,1,5,2,TA,8,1,1946.0,1,311,200,19,0,Y,6,2010,Normal,377974
197,40,Gilbert,2Story,,8638,8,7,1968,1987,Gd,TA,1107,888,1463,2,1,2,1,Gd,4,2,1972.0,1,235,250,192,0,Y,9,2008,Normal,431958
198,50,Sawyer,1.5Fin,,15104,2,8,1928,1928,TA,TA,390,545,550,1,0,4,2,TA,8,2,,0,0,250,74,0,Y,7,2006,Normal,233429
199,50,Mitchel,1Story,,7466,2,7,1917,1918,Gd,Gd,795,761,1026,3,1,2,2,Fa,5,0,1919.0,1,318,0,167,0,N,8,2007,Normal,296906
200,90,Edwards,1Story,,8002,2,5,1918,1935,Gd,Gd,850,943,1194,3,0,4,1,Gd,7,2,1921.0,2,450,100,124,0,Y,8,2007,Normal,322587
201,40,BrkSide,2Story,,10543,10,3,2004,2010,TA,Fa,1144,1165,1786,1,1,3,2,Ex,6,2,2007.0,1,302,0,132,0,N,12,2006,Partial,400862
202,20,OldTown,SLvl,76.6,10501,7,2,2005,2010,TA,Gd,724,918,1221,3,1,5,1,TA,9,0,,0,0,250,156,400,Y,8,2006,Normal,317689
203,50,Sawyer,2Story,82.4,11590,9,7,1924,1927,TA,Fa,776,1468,1479,3,1,2,2,Gd,6,0,1925.0,1,345,250,53,0,Y,2,2008,Normal,379970
204,20,Gilbert,1Story,43.4,19285,2,7,1921,1930,Gd,Ex,649,741,962,3,0,3,2,TA,6,0,,0,0,250,43,0,Y,5,2006,Abnorml,354539
205,80,Sawyer,1Story,57.6,11912,2,8,1906,1922,Gd,Gd,676,904,1632,2,1,1,1,Gd,3,2,1909.0,1,308,200,199,0,Y,3,2006,Normal,317704
206,90,Sawyer,1Story,,1500,9,9,2006,2010,TA,Gd,1120,1272,1929,1,0,4,1,TA,7,2,2010.0,3,1110,200,133,0,Y,10,2010,Partial,426940
207,80,Gilbert,1Story,85.5,11870,2,5,1978,2010,Gd,TA,1347,1726,1743,2,0,1,1,TA,4,1,1980.0,3,560,200,58,0,Y,12,2009,Normal,442389
208,80,OldTown,2Story,58.1,10659,3,8,1984,2010,Gd,Gd,727,1573,1581,3,1,3,2,Fa,6,2,1986.0,3,784,0,129,0,Y,10,2010,Partial,364532
209,50,Gilbert,1Story,73.3,10682,6,7,1932,1953,Gd,Gd,396,587,910,2,0,1,1,Gd,3,1,,0,0,0,78,0,Y,3,2007,Abnorml,377554
210,70,BrkSide,2Story,63.8,11533,7,4,1971,1973,Gd,NA,1045,1139,1377,2,0,2,2,Fa,6,2,1974.0,1,267,100,171,0,Y,9,2007,Abnorml,334951
211,50,Mitchel,2Story,,10380,4,8,1906,1909,TA,TA,869,821,1404,3,1,3,2,TA,7,2,,0,0,0,101,0,Y,1,2009,Normal,328189
212,80,Mitchel,2Story,81.4,10279,6,2,1975,1981,Gd,TA,1225,1179,1456,2,0,2,2,TA,5,2,1979.0,1,278,200,62,0,Y,4,2009,Abnorml,348446
213,30,CollgCr,1Story,61.8,13075,8,6,1964,1990,TA,Gd,1589,1053,1736,1,0,2,2,TA,6,1,1965.0,2,571,200,138,0,Y,4,2007,Normal,472700
214,30,Gilbert,1.5Fin,80.5,8223,5,9,1936,1949,TA,Gd,2139,2121,2309,3,0,1,1,Gd,3,1,1936.0,3,807,250,150,0,Y,6,2010,Normal,489281
215,90,CollgCr,2Story,,6520,5,7,1978,1987,TA,TA,1278,1960,2015,2,1,4,2,TA,9,0,1978.0,1,259,200,74,0,Y,4,2009,Normal,404753
216,40,NridgHt,2Story,,23200,2,9,1971,1997,TA,Ex,587,676,1076,2,0,4,2,Gd,9,2,,0,0,0,150,0,Y,6,2007,Normal,488745
217,40,Mitchel,1Story,80.4,7493,6,2,1948,1980,TA,TA,1452,1498,1976,2,0,3,1,Gd,5,0,1952.0,1,291,0,46,0,Y,1,2006,Partial,390296
218,70,NAmes,1Story,122.2,10921,9,6,1920,1937,TA,NA,1515,1211,2032,3,1,1,2,TA,4,1,1924.0,1,249,0,47,0,Y,10,2006,Normal,416395
219,40,NridgHt,SLvl,,4218,7,8,1902,1937,Gd,Gd,956,905,1288,3,0,1,1,Ex,3,1,1902.0,2,636,150,165,0,Y,5,2010,Normal,524799
220,70,Mitchel,1Story,66.9,10989,10,7,2004,2010,TA,NA,1245,1250,2157,3,0,4,1,TA,8,2,,0,0,0,124,0,N,10,2010,Normal,462544
221,50,BrkSide,1Story,,6580,3,9,1931,1959,Ex,Gd,652,1002,1498,3,1,5,2,Gd,10,2,1934.0,2,648,250,7,0,Y,1,2008,Normal,342185
222,80,Edwards,1Story,,8642,2,5,1933,1967,TA,Gd,450,869,873,1,1,5,1,Gd,7,2,1934.0,1,235,0,135,200,Y,11,2009,Normal,257834
223,20,CollgCr,2Story,,14889,6,7,1975,1982,TA,Gd,906,1065,1868,3,0,3,2,TA,7,2,1977.0,2,424,100,61,400,N,8,2010,Normal,442943
224,70,Mitchel,SLvl,84.6,12482,3,5,1928,1958,Gd,NA,786,1573,1679,3,1,3,1,Gd,5,2,1928.0,3,839,200,54,0,Y,3,2006,Normal,419338
225,40,Mitchel,1Story,86.2,12887,7,8,1941,1979,Gd,TA,1424,916,1566,1,0,1,2,Fa,6,1,,0,0,0,84,0,Y,10,2010,Normal,356406
226,50,Gilbert,SLvl,76.5,3061,10,2,1978,2010,Ex,TA,706,1365,1732,2,0,1,1,Fa,3,1,1980.0,3,992,0,90,0,Y,9,2008,Normal,452242
227,90,Mitchel,1Story,63.5,18215,5,4,1966,1989,Ex,Gd,936,964,1280,3,1,4,2,Gd,7,2,,0,0,0,178,0,Y,9,2008,Normal,372848
228,50,NAmes,2Story,59.1,5494,6,2,1972,2002,TA,Fa,1790,1883,1943,2,0,3,2,Gd,8,1,1976.0,3,891,0,87,0,Y,11,2006,Normal,400232
229,20,NridgHt,2Story,,16920,8,7,1900,1935,Gd,TA,1004,1074,1679,3,0,3,2,Ex,8,1,1902.0,1,309,150,59,0,Y,12,2009,Normal,547821
230,50,NAmes,1Story,57.7,14790,3,3,1950,1984,TA,TA,1142,1044,1655,2,0,2,2,TA,6,0,1953.0,2,451,150,154,0,Y,2,2009,Family,358447
231,30,Mitchel,1Story,41.5,12925,10,4,1952,1987,TA,TA,1504,1704,1921,1,1,2,2,Gd,7,1,1956.0,3,1004,100,108,0,Y,4,2006,Partial,461874
232,50,NridgHt,1Story,99.9,6909,3,8,1970,2003,Gd,TA,586,895,1021,1,0,5,1,Fa,7,1,1972.0,2,547,0,0,0,Y,1,2009,Abnorml,485804
233,30,Mitchel,SLvl,110.4,11137,9,4,1916,1931,Gd,TA,859,1120,1296,3,1,5,2,Fa,8,0,1917.0,1,276,100,126,0,Y,1,2006,Abnorml,378665
234,70,Gilbert,2Story,27.4,8522,7,3,1917,1946,Gd,Gd,573,379,675,3,0,4,2,Gd,8,2,1921.0,3,843,0,100,0,Y,2,2007,Normal,378259
235,30,NAmes,SLvl,76.4,10622,3,2,1984,2000,TA,Fa,1495,1231,1846,2,1,2,1,TA,5,2,1984.0,1,326,0,114,0,Y,9,2009,Normal,354812
236,50,NAmes,1.5Fin,76.0,9451,8,3,1974,2006,Gd,Gd,944,1038,1118,2,1,4,1,Gd,7,2,1975.0,2,500,150,36,0,Y,8,2009,Abnorml,376787
237,90,Edwards,1Story,74.6,1938,3,9,1990,2010,Gd,NA,1545,1344,1639,2,1,2,2,TA,7,0,1990.0,2,423,250,95,0,Y,1,2006,Normal,368313
238,70,Sawyer,2Story,57.0,15211,7,6,1930,1967,Fa,Gd,1119,1521,1853,3,0,3,1,Gd,7,0,1933.0,1,293,100,129,0,Y,6,2008,Abnorml,382266
239,70,CollgCr,1Story,92.5,10159,10,9,2010,2010,TA,Gd,1654,1393,2039,3,1,1,2,TA,4,0,,0,0,0,135,0,Y,2,2007,Normal,480832
240,80,BrkSide,1Story,79.0,8464,10,3,1930,1949,Gd,Gd,857,782,1172,3,0,4,1,Gd,8,2,1931.0,1,268,250,136,0,Y,3,2009,Abnorml,375811
241,90,OldTown,1.5Fin,92.8,8147,9,4,1972,1978,TA,TA,1298,1653,1694,3,1,1,2,TA,4,2,1975.0,3,982,0,199,0,Y,1,2010,Normal,380741
242,90,Somerst,2Story,,12006,6,3,1918,1943,TA,Gd,1978,2151,2452,3,1,4,2,Gd,8,1,1919.0,2,606,200,100,0,Y,7,2009,Abnorml,505757
243,80,OldTown,1Story,39.6,6746,7,5,2001,2010,TA,Fa,2029,1516,2498,2,0,4,2,TA,8,0,2002.0,2,643,250,85,0,Y,1,2009,Normal,409481
244,40,Somerst,2Story,79.6,1500,4,6,1936,1956,Gd,TA,1840,2016,2074,1,1,1,2,Fa,5,1,1938.0,1,305,250,108,0,Y,10,2008,Normal,439024
245,60,Somerst,2Story,,12210,10,8,1989,2010,TA,Gd,1132,1553,1912,2,0,3,2,TA,6,2,1989.0,2,753,0,65,0,Y,12,2008,Partial,550774
246,80,NAmes,1.5Fin,93.2,12680,6,4,1936,1970,Gd,TA,887,817,1168,3,0,2,2,TA,6,1,1940.0,1,256,0,63,0,Y,11,2007,Normal,318943
247,60,Gilbert,2Story,23.2,9662,8,8,1987,1992,TA,TA,1133,1490,2045,2,0,3,1,Gd,5,0,,0,0,150,138,0,Y,10,2010,Normal,438361
248,30,Sawyer,1Story,,5679,5,7,1950,1967,Gd,Fa,1126,1358,1549,1,0,1,2,Gd,6,1,,0,0,200,62,0,Y,10,2007,Normal,346605
249,60,Mitchel,1Story,56.4,10874,8,4,1906,1934,TA,Gd,1601,1416,1969,3,1,4,2,Gd,7,2,1906.0,1,318,200,149,0,Y,11,2010,Normal,416941
250,30,Edwards,1Story,62.7,4349,4,9,1921,1953,TA,NA,1082,1051,1296,3,1,3,1,Fa,6,2,1923.0,2,555,100,149,0,Y,11,2009,Normal,329339
251,70,BrkSide,2Story,75.7,6186,8,5,1975,2006,Fa,Ex,1020,1406,1617,2,0,2,1,Gd,4,1,1976.0,1,349,0,190,0,Y,3,2010,Normal,387154
252,80,BrkSide,1.5Fin,,7347,2,3,1921,1952,TA,TA,1107,1039,1629,2,0,5,2,Gd,8,2,,0,0,150,26,0,Y,8,2009,Normal,304568
253,70,Mitchel,1Story,84.1,14045,2,9,1930,1964,Gd,TA,974,1626,1668,1,0,4,2,TA,8,0,1934.0,1,336,150,72,0,Y,4,2007,Normal,328258
254,60,Edwards,1Story,86.6,8977,5,9,1960,1998,Gd,TA,918,1323,1862,3,1,4,1,Gd,8,2,1962.0,1,304,100,154,0,Y,11,2007,Partial,369206
255,60,BrkSide,1Story,66.2,8619,6,2,1928,1952,TA,Ex,745,1014,1372,1,1,1,1,TA,4,0,1931.0,2,557,150,85,0,Y,1,2006,Normal,321079
256,60,Gilbert,2Story,116.4,18710,8,9,1914,1923,Gd,TA,951,912,1055,2,1,3,1,Gd,7,1,1917.0,1,302,0,131,0,Y,6,2010,Normal,415672
257,50,NAmes,1.5Fin,,11980,5,9,1969,1991,Ex,Gd,1371,1982,2405,2,0,4,2,Ex,9,1,1970.0,1,290,200,147,0,Y,5,2006,Normal,425401
258,30,OldTown,1Story,63.1,11924,2,8,1976,2004,TA,Gd,2569,2053,2745,1,1,5,2,TA,9,2,,0,0,0,176,0,Y,11,2010,Normal,391521
259,70,NridgHt,1Story,67.0,8947,4,4,1981,1985,Gd,Gd,967,1529,1815,2,0,4,1,TA,8,0,1985.0,2,543,200,45,0,Y,4,2009,Normal,541247
260,40,CollgCr,2Story,62.7,7995,5,7,2004,2010,Ex,TA,789,946,989,3,0,1,1,Fa,4,0,2008.0,3,756,200,52,0,Y,11,2006,Normal,408445
261,30,Somerst,1Story,78.0,1500,6,6,1913,1934,TA,Gd,915,1164,1279,3,1,4,1,Gd,7,2,1915.0,2,533,150,94,550,Y,6,2010,Normal,431409
262,80,Sawyer,1.5Fin,48.6,14569,7,6,1947,1984,Fa,TA,1503,1768,1919,2,0,1,1,Gd,5,1,1949.0,1,213,200,101,0,Y,9,2006,Normal,399418
263,60,CollgCr,1Story,52.6,12383,4,6,1925,1933,TA,NA,1692,1495,2244,1,0,2,2,Gd,6,2,1925.0,1,314,250,181,0,Y,7,2006,Abnorml,441158
264,60,Somerst,1Story,22.3,9748,7,7,2000,2010,Gd,TA,862,807,1093,3,0,5,1,Gd,9,1,2001.0,1,231,0,7,0,Y,6,2008,Normal,418436
265,60,OldTown,SLvl,,9924,7,6,1959,1976,TA,TA,1451,1291,1615,1,1,5,2,TA,8,1,,0,0,100,49,0,Y,4,2006,Normal,331595
266,20,Gilbert,1Story,93.4,13592,8,7,1910,1932,TA,TA,1274,1022,1794,3,1,5,1,Gd,8,2,,0,0,150,182,0,Y,4,2006,Normal,429955
267,60,OldTown,1Story,66.7,3970,6,6,1976,2002,Ex,Gd,903,1851,2065,2,0,2,1,TA,5,2,1980.0,3,941,250,122,0,Y,8,2009,Family,391599
268,60,Mitchel,1Story,67.9,8022,9,2,1904,1927,TA,TA,856,1085,1560,2,1,4,2,TA,7,2,1904.0,3,627,200,135,0,Y,4,2010,Normal,421907
269,60,NAmes,1Story,76.1,5728,3,2,1930,1966,TA,Gd,651,558,824,2,0,4,2,Gd,9,2,1931.0,3,829,150,49,0,N,11,2006,Normal,357977
270,20,Mitchel,1Story,48.0,17940,8,9,1980,1986,TA,Gd,1342,1332,1998,2,1,2,1,TA,4,0,1981.0,2,597,100,124,0,Y,2,2009,Normal,397305
271,80,Sawyer,1Story,70.6,14178,2,9,1956,1985,Gd,Gd,1466,1416,2090,1,0,5,2,Gd,8,0,1960.0,3,846,0,73,0,Y,3,2009,Normal,379129
272,60,BrkSide,1Story,89.6,1500,2,6,1984,2010,TA,TA,1100,1060,1510,2,1,5,2,TA,8,2,1986.0,1,334,0,146,0,Y,1,2006,Normal,312824
273,80,BrkSide,1Story,,4142,9,3,1963,1971,Gd,Gd,1172,1578,1920,2,0,1,1,Gd,5,1,1963.0,1,247,100,18,0,Y,11,2006,Normal,389919
274,60,CollgCr,2Story,91.5,9944,6,8,1993,2003,Ex,Gd,1174,1156,1422,3,1,4,2,TA,7,0,,0,0,250,56,0,Y,5,2008,Family,431474
275,40,Mitchel,2Story,,8516,7,3,1962,1981,Gd,Fa,1013,844,1269,2,0,3,2,Gd,6,0,,0,0,250,128,0,Y,1,2009,Normal,364169
276,80,Gilbert,1Story,84.6,4938,7,5,1906,1934,TA,Gd,1719,1394,2168,3,1,4,2,Ex,9,1,1909.0,2,517,150,120,0,Y,1,2007,Normal,466802
277,40,Mitchel,1Story,54.3,18668,8,4,1907,1945,Ex,TA,1496,1739,1886,1,1,3,1,Gd,5,1,,0,0,0,168,0,Y,12,2008,Partial,401814
278,50,BrkSide,2Story,62.4,11813,4,2,1986,2010,TA,TA,1633,1086,1835,1,0,2,1,Gd,4,2,1986.0,3,821,200,160,0,Y,11,2008,Normal,377517
279,20,Gilbert,1.5Fin,112.5,12494,3,8,1904,1935,TA,TA,1670,1793,2296,1,0,1,2,TA,4,2,1908.0,3,988,100,2,0,Y,4,2009,Normal,443186
280,30,Edwards,1.5Fin,76.9,7594,2,6,1941,1958,Ex,Ex,973,819,1044,3,0,3,2,Gd,7,2,1944.0,1,229,150,18,0,Y,8,2007,Normal,305034
281,20,CollgCr,1Story,74.0,13534,9,4,1901,1926,TA,Ex,680,1180,1460,1,0,5,2,Fa,8,1,1901.0,2,747,100,70,0,Y,4,2009,Normal,402390
282,50,CollgCr,1Story,51.1,8902,4,6,1933,1941,Fa,Fa,1253,1590,1676,1,1,5,1,Gd,9,2,,0,0,200,191,0,Y,11,2010,Normal,433585
283,40,Edwards,1Story,68.0,9310,7,2,1966,1984,Ex,TA,1115,1166,1404,3,0,2,2,Gd,5,2,1966.0,1,283,0,95,0,Y,9,2008,Normal,371539
284,40,BrkSide,1Story,85.8,13066,6,5,1919,1926,TA,Ex,1342,2002,2026,2,1,5,1,Gd,8,2,,0,0,0,178,0,Y,6,2009,Normal,369707
285,80,Gilbert,2Story,70.3,3658,3,6,1951,1952,Fa,Gd,829,1399,1485,2,0,2,1,Gd,4,1,,0,0,0,11,0,Y,12,2006,Normal,352845
286,70,Somerst,1Story,58.6,17208,5,4,2010,2010,TA,TA,807,743,1149,3,0,3,2,TA,6,0,,0,0,250,192,0,Y,3,2010,Abnorml,412120
287,80,OldTown,1Story,63.7,11266,2,8,1907,1939,TA,Gd,950,1042,1582,3,0,2,2,Gd,5,0,1909.0,3,661,0,12,0,Y,12,2007,Normal,325626
288,80,Gilbert,1Story,96.2,15880,3,3,1907,1927,TA,TA,1491,1168,1657,3,1,3,1,TA,7,2,1908.0,2,786,0,161,0,Y,4,2006,Normal,366094
289,30,NridgHt,2Story,84.7,5983,3,3,1930,1930,TA,TA,1207,1470,2024,2,0,3,1,Ex,7,2,1932.0,3,781,0,175,0,Y,11,2008,Normal,539666
290,60,Mitchel,1Story,81.7,6623,9,6,1991,1994,Gd,TA,950,1529,1914,2,0,4,2,Gd,7,2,1994.0,3,781,200,58,0,Y,11,2007,Normal,443988
291,80,Sawyer,1.5Fin,79.7,5620,7,9,1945,1949,Gd,Fa,1360,1241,1896,1,0,3,2,Gd,6,2,1945.0,3,956,0,60,0,Y,7,2008,Normal,403488
292,40,NridgHt,1Story,44.0,11551,10,5,1970,1998,TA,TA,1176,1238,1904,2,0,3,1,TA,7,1,1973.0,3,1058,250,116,550,Y,2,2010,Normal,590629
293,50,Mitchel,SLvl,76.0,10777,5,2,1903,1911,Gd,Fa,695,1107,1535,3,0,4,2,TA,8,0,,0,0,250,144,0,Y,10,2008,Normal,336111
294,60,Somerst,1Story,93.5,8549,3,9,1981,1991,Gd,TA,875,1050,1231,1,1,3,2,Fa,6,0,1985.0,3,696,150,24,0,Y,9,2007,Normal,437153
295,80,Mitchel,1.5Fin,64.3,6241,7,5,1907,1941,Gd,TA,1262,1559,1814,3,1,3,2,Gd,6,2,1907.0,2,577,0,47,0,Y,11,2010,Normal,418649
296,30,Edwards,1.5Fin,91.5,5180,10,3,1979,2010,TA,TA,788,1573,1590,1,0,1,2,Ex,5,0,,0,0,150,150,0,Y,3,2007,Abnorml,348760
297,50,CollgCr,SLvl,,10296,6,6,1916,1946,TA,TA,1793,1578,2461,1,1,5,1,TA,8,1,,0,0,150,161,0,Y,3,2010,Normal,430532
298,30,Somerst,1.5Fin,88.2,8545,2,4,1995,2007,Gd,Ex,1562,1595,2194,2,1,1,2,TA,5,2,1998.0,3,644,0,30,0,Y,5,2010,Normal,470726
299,70,CollgCr,2Story,71.1,7620,4,9,1932,1955,Gd,NA,1572,1874,1904,1,1,5,2,TA,8,1,1933.0,3,744,200,177,0,Y,5,2008,Normal,417717
300,30,CollgCr,2Story,89.5,16998,10,4,1920,1928,Gd,NA,1157,1662,1932,3,1,4,1,Gd,7,2,1921.0,1,280,100,173,0,Y,1,2009,Normal,482278
301,40,BrkSide,2Story,37.8,10154,6,6,1937,1971,Gd,Gd,863,1313,1608,2,0,5,1,TA,7,1,,0,0,200,173,0,Y,2,2009,Normal,350665
302,40,Sawyer,1Story,70.7,15834,10,6,1900,1903,TA,TA,1057,908,1145,2,1,1,1,Gd,4,2,1902.0,1,270,150,48,0,Y,6,2010,Normal,357888
